组合,样本,Q1低分5日%,Q4高分5日%,多空差%,Q1胜率%,Q4胜率%,胜率差pct,t
A 生产口径,3980,0.295,0.459,0.165,49.8,48.7,-1.1,0.78
B 全因子·训练期定符号,3980,0.265,0.333,0.068,46.2,51.9,5.6,0.34
C 去共线·训练期定符号,3980,0.704,0.246,-0.458,50.5,51.1,0.6,-2.25
