年份,样本,A,B,C,D,E
2023年,650,-0.121,-0.126,-0.122,-0.188,0.0
2024年,2420,-1.2,-1.117,-1.318,-1.15,-0.913
2025年,2430,0.168,0.269,0.049,0.117,-0.008
2026年,1550,-0.063,0.024,-0.147,-0.033,0.306
