组合,样本,Q1低分5日%,Q4高分5日%,多空差%,Q1胜率%,Q4胜率%,胜率差pct,t
A 生产口径,3980,0.295,0.459,0.165,49.8,48.7,-1.1,0.78
B 稳定性筛选(等权),3980,0.441,0.21,-0.231,48.5,50.3,1.7,-1.13
C 仅乖离修正,3980,0.262,0.308,0.045,49.5,50.1,0.6,0.48
