,IC_train
F_above,0.013803361217948684
F_arrange,-0.01452761726217992
F_slope,-0.012028620847073606
F_chg20,-0.04484441804433953
F_sr,0.0040244233480761235
F_dev,0.07946620583125234
F_intraday,-0.0006405949613995745
F_fund,-0.058726098282378805
