档位,样本数,占比%,1日均值%,1日中位%,1日胜率%,3日均值%,3日中位%,3日胜率%,5日均值%,5日中位%,5日胜率%,10日均值%,10日中位%,10日胜率%
Q1 最低,182,4.6,0.017,-0.254,41.2,0.576,0.077,50.5,1.05,-0.29,47.3,1.42,-0.441,47.8
Q2,1255,31.5,0.086,0.0,49.4,0.127,-0.073,48.4,0.221,-0.099,48.6,0.579,-0.352,47.1
Q3,896,22.5,-0.002,-0.102,45.8,0.111,-0.144,47.8,0.144,-0.164,47.8,0.659,0.04,50.2
Q4,830,20.9,0.132,0.0,49.0,0.442,0.209,54.3,0.628,0.318,54.6,0.832,0.666,56.4
Q5 最高,817,20.5,0.106,-0.024,47.1,0.12,-0.163,47.4,0.272,0.066,50.4,0.491,0.61,54.5
