档位,样本数,占比%,1日均值%,1日中位%,1日胜率%,3日均值%,3日中位%,3日胜率%,5日均值%,5日中位%,5日胜率%,10日均值%,10日中位%,10日胜率%
Q1 最低,581,14.6,0.097,-0.053,47.3,0.327,0.008,50.1,0.717,-0.163,48.7,1.352,-0.068,49.2
Q2,677,17.0,0.024,-0.1,45.9,0.261,0.0,49.6,0.38,0.069,50.7,0.857,-0.272,47.5
Q3,883,22.2,0.074,0.0,49.0,-0.036,-0.131,47.1,0.021,-0.124,47.8,0.307,0.135,51.0
Q4,1038,26.1,0.104,0.0,48.2,0.277,0.044,50.6,0.478,0.221,52.7,0.676,0.533,54.6
Q5 最高,801,20.1,0.075,-0.028,47.2,0.257,0.0,49.7,0.191,0.0,49.2,0.411,0.263,52.0
