组合,样本,Q1低分5日%,Q4高分5日%,多空差%,Q1胜率%,Q4胜率%,胜率差pct,t
A 生产口径,7050,0.333,0.412,0.079,50.1,48.0,-2.1,0.46
B 动量取反,7050,0.33,0.372,0.043,48.4,50.7,2.3,0.26
C 反转主导,7050,0.324,0.391,0.067,48.4,50.8,2.4,0.39
D 去均线三兄弟,7050,0.144,0.721,0.577,46.4,53.8,7.4,4.05
E IC加权(样本内),7050,0.183,0.499,0.316,46.1,51.4,5.3,1.84
