档位,样本数,占比%,1日均值%,1日中位%,1日胜率%,3日均值%,3日中位%,3日胜率%,5日均值%,5日中位%,5日胜率%,10日均值%,10日中位%,10日胜率%
加仓,2031,28.8,0.029,-0.06,47.7,0.192,-0.143,47.6,0.379,-0.109,48.4,0.702,-0.192,48.8
观望,1169,16.6,0.176,0.0,49.4,0.383,0.015,50.1,0.527,0.069,50.5,0.997,-0.083,49.0
减仓,1453,20.6,0.063,-0.04,47.4,0.284,0.0,49.5,0.385,-0.093,49.0,0.883,0.088,50.8
清仓,2397,34.0,0.085,0.0,47.9,0.158,-0.007,48.9,0.325,0.08,50.7,0.704,0.312,52.6
